"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 17 11:31:55 BRT 2022","Wed Aug 17 11:32:25 BRT 2022","29790","","Acess Admin Panel","","Acess Admin Panel","Shoud login with valid credentials","Shoud login with valid credentials",""
"broken","Tue Aug 16 12:38:04 BRT 2022","Tue Aug 16 12:39:16 BRT 2022","72305","","Acess Admin Panel","","Acess Admin Panel","Shoud login with valid credentials","Shoud login with valid credentials",""
